Name ru,Name en,Transliterations,Countries,DOB,Gender,Description,Tags
Шарлай Артем Владимирович,Sharlay Artem Vladimirovich,,,16.10.1977,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Щербина Эдуард Алексеевич,Shcherbina Eduard Alekseevich,,,07.10.1973,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Шкаплеров Антон Николаевич,Shkaplerov Anton Nikolaevich,,,20.02.1972,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Шляхто Евгений Владимирович,Shlyakhto Evgeniy Vladimirovich,,,29.06.1954,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Шмонин Иван Николаевич,Shmonin Ivan Nikolaevich,,,18.10.1989,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Шувалов Евгений Николаевич,Shuvalov Evgeniy Nikolaevich,,,,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Сигарева Екатерина Андреевна,Sigareva Ekaterina Andreevna,,,,F,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Симанова Ольга Владимировна,Simanova Olga Vladimirovna,,,,F,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Сираев Тимур Альбертович,Siraev Timur Albertovich,,,09.04.1993,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Скрипкин Сергей Анатольевич,Skripkin Sergey Anatolievich,,,1964,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Сорока Анна Борисовна,Soroka Anna Borisovna,,,26.05.1980,F,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Стеклов Владимир Александрович,Steklov Vladimir Alexandrovich,,,03.01.1948,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Сухоруков Виктор Иванович,Sukhorukov Viktor Ivanovich,,,10.11.1951,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Сураев Максим Викторович,Suraev Maxim Viktorovich,,,24.05.1972,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Свидовсков Леонард Вячеславович,Svidovskov Leonard Vyacheslavovich,,,06.08.1966,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Травников Герман Алексеевич,Travnikov German Alekseevich,,,15.12.1937,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Тутурин Дмитрий Леонидович,Tuturin Dmitry Leonidovich,,,18.03.1974,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Якимов Денис Александрович,Yakimov Denis Alexandrovich,,,,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Яковенко Ирина Вячеславовна,Yakovenko Irina Vyacheslavovna,,,07.03.1985,F,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Юдина Зоя Алексеевна,Yudina Zoya Alekseevna,,,,F,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Юрчихин Федор Николаевич,Yurchikhin Fedor Nikolaevich,,,03.01.1959,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Абдразаков Ильдар Амирович,Abdrazakov Ildar Amirovich,,,26.09.1976,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Амелин Александр Николаевич,Amelin Alexander Nikolaevich,,,16.02.1987,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Аносов Виктор Юрьевич,Anosov Viktor Yurievich,,,31.10.1965,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Бачурин Илья Викторович,Bachurin Ilya Viktorovich,,,29.05.1970,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Багдасарян Вардан Эрнестович,Baghdasaryan Vardan Ernestovich,,,05.01.1971,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Байсиев Темиржан Мухаметович,Baysiev Temirzhan Mukhametovich,,,,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Демьяненко Сергей Иванович,Demyanenko Sergey Ivanovich,,,15.11.1964,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Донгак Мерген Очур-оолович,Dongak Mergen Ochur-oolovich,,,23.02.1981,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Драпкина Оксана Михайловна,Drapkina Oksana Mikhailovna,,,30.06.1969,F,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Емельянов Сергей Геннадьевич,Emelyanov Sergey Gennadievich,,,11.08.1964,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Ераховец Юрий Николаевич,Erakhovets Yuri Nikolaevich,,,06.09.964,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Ганапольский Алинберг Михайлович,Ganapolsky Alinberg Mikhailovich,,,,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Гатауллин Рустам Мухтарович,Gataullin Rustam Mukhtarovich,,,21.09.1953,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Герелло Василий Георгиевич,Gerello Vasily Georgievich,,,13.03.1963,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Гималтдинова Алина Фаридовна,Gimaltdinova Alina Faridovna,,,15.06.1989,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Гнатюк Кристина Юрьевна,Gnatyuk Kristina Yurievna,,,25.08.,F,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Головин Владислав Николаевич,Golovin Vladislav Nikolaevich,,,1997,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Горбачёв Ростислав Сергеевич,Gorbachev Rostislav Sergeevich,,,,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Гречко Андрей Вячеславович,Grechko Andrey Vyacheslavovich,,,09.01.1975,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Гусева Ирина Михайловна,Guseva Irina Mikhailovna,,,20.05.1972,F,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Иванкин Илья Игоревич,Ivankin Ilya Igorevich,,,27.09.1971,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Иванов Николай Федорович,Ivanov Nikolay Fedorovich,,EU,08.05.1956,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Каберова Надежда Николаевна,Kaberova Nadezhda Nikolaevna,,,04.02.1968,F,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Капалкина Юлия Александровна,Kapalkina Yulia Alexandrovna,,,17.03.1977,F,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Карзанов Владимир Петрович,Karzanov Vladimir Petrovich,,,,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Клосс Денис Аркадьевич,Kloss Denis Arkadievich,,,14.05.1981,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Колычева Анна Сергеевна,Kolycheva Anna Sergeevna,,,,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Колыванова Наталия Витальевна,Kolyvanova Natalia Vitalievna,,,,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Костенко Николай Владимирович,Kostenko Nikolay Vladimirovich,,,,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Костоев Исса Магометович,Kostoev Issa Magometovich,,,08.08.1942,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Кравченко Дмитрий Витальевич,Kravchenko Dmitry Vitalievich,,,06.05.1991,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Кузьмина Елена Юрьевна,Kuzmina Elena Yurievna,,,,F,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Леонов Александр Георгиевич,Leonov Alexander Georgievich,,EU,26.02.1952,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Лизунов Александр Павлович,Lizunov Alexander Pavlovich,,,,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Лозко Елена Петровна,Lozko Elena Petrovna,,,13.02.,F,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Лысюк Сергей Иванович,Lysyuk Sergey Ivanovich,,,25.07.1954,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Мачехин Сергей Владимирович,Machekhin Sergey Vladimirovich,,,23.01.1975,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Малышева Елена Петровна,Malysheva Elena Petrovna,,,,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Мамаев Михаил Алексеевич,Mamaev Mikhail Alekseevich,,,13.02.1966,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Манучаров Вячеслав Рафаэлевич,Manucharov Vyacheslav Rafaelevich,,,06.10.1981,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Машкова Марина Геннадьевна,Mashkova Marina Gennadievna,,,22.01.1956,F,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Масягина Наталья Васильевна,Masyagina Natalya Vasilievna,,,11.11.1972,F,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Мазаева Сапижат Исаевна,Mazaeva Sapizhat Isaevna,,,,F,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Мигунова Марина Анатольевна,Migunova Marina Anatolyevna,,,20.03.1969,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Мирошниченко Мария Николаевна,Miroshnichenko Maria Nikolaevna,,,1994,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Мутушев Абдурахим Абдул-Межитович,Mutushev Abdurakhim Abdul-Mezhitovich,,,01.01.1966,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Нахушев Черим Хачимович,Nakhushev Cherim Khachimovich,,,17.12.1970,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Нимченко Юрий Петрович,Nimchenko Yuri Petrovich,,,04.06.1980,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Олюнин Николай Игоревич,Olyunin Nikolay Igorevich,,,23.10.1991,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Орлова Светлана Сергеевна,Orlova Svetlana Sergeevna,,,08.03.1978,F,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Пак Олег Игоревич,Pak Oleg Igorevich,,,,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Парамонов Дмитрий Андреевич,Paramonov Dmitry Andreevich,,,16.03.1991,M,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
Павлюченкова Анастасия Юрьевна,Pavlyuchenkova Anastasia Yurievna,,,03.07.1991,F,"Trusted representative of presidential candidate Vladimir Putin in the non-competitive presidential election on March 15-17, 2024. Trusted representatives voluntarily campaign for the re-election of Vladimir Putin, who is responsible for unleashing an aggressive war against Ukraine and political repression in Russia.",Presidential proxies in elections
